Date,Open,High,Low,Close,Volume,Adj Close
2016-02-05,26.530001,28.00,25.00,25.76,14700,25.76
2016-02-04,25.049999,27.309999,24.52,26.440001,12600,26.440001
2016-02-03,24.389999,25.73,23.709999,25.02,51400,25.02
2016-02-02,25.35,26.030001,23.860001,24.879999,55400,24.879999
2016-02-01,25.07,25.98,24.43,25.299999,74700,25.299999
2016-01-29,23.190001,24.969999,23.18,24.879999,60800,24.879999
2016-01-28,23.709999,25.08,23.01,23.809999,310900,23.809999
2016-01-27,25.00,25.360001,23.809999,24.75,29500,24.75
2016-01-26,25.00,25.110001,20.530001,24.860001,53700,24.860001
2016-01-25,27.75,27.75,24.540001,24.799999,47700,24.799999
2016-01-22,27.040001,27.889999,26.280001,27.889999,27300,27.889999
2016-01-21,27.00,27.00,26.120001,26.799999,45200,26.799999
2016-01-20,26.780001,27.93,26.10,26.780001,31900,26.780001
2016-01-19,24.700001,27.059999,23.950001,26.00,62700,26.00
2016-01-15,24.85,26.02,24.01,24.700001,41300,24.700001
2016-01-14,26.030001,26.23,24.01,25.24,27400,25.24
2016-01-13,24.700001,26.799999,24.120001,26.09,32300,26.09
2016-01-12,27.959999,28.00,23.540001,24.709999,78400,24.709999
2016-01-11,28.200001,29.00,26.26,26.790001,132100,26.790001
2016-01-08,29.83,29.93,27.469999,28.00,122100,28.00
2016-01-07,30.02,30.02,28.370001,29.65,16900,29.65
2016-01-06,30.58,30.58,29.209999,29.959999,12000,29.959999
2016-01-05,31.00,31.00,29.60,30.879999,18300,30.879999
2016-01-04,30.75,31.200001,29.360001,30.67,62400,30.67
2015-12-31,29.76,31.27,29.040001,31.27,46800,31.27
2015-12-30,29.75,30.040001,29.60,30.040001,14200,30.040001
2015-12-29,29.780001,30.00,29.27,29.73,17200,29.73
2015-12-28,30.00,30.040001,29.309999,29.51,31200,29.51
2015-12-24,30.469999,30.469999,29.450001,29.83,11600,29.83
2015-12-23,29.75,30.299999,29.15,29.82,15500,29.82
2015-12-22,29.610001,31.25,28.620001,29.709999,23100,29.709999
2015-12-21,32.919998,32.919998,29.65,29.799999,25600,29.799999
2015-12-18,29.440001,32.709999,29.00,31.959999,95500,31.959999
2015-12-17,29.35,29.90,28.92,29.48,28100,29.48
2015-12-16,29.389999,29.99,29.209999,29.41,19500,29.41
2015-12-15,29.00,30.290001,28.309999,29.780001,23300,29.780001
2015-12-14,29.120001,29.98,28.309999,29.639999,27600,29.639999
2015-12-11,29.98,30.50,28.309999,29.209999,39300,29.209999
2015-12-10,29.780001,30.700001,28.049999,29.50,40900,29.50
2015-12-09,31.030001,31.299999,28.799999,29.559999,53600,29.559999
2015-12-08,28.799999,32.299999,28.799999,29.42,130400,29.42
2015-12-07,26.43,30.309999,26.43,29.01,75100,29.01
2015-12-04,26.209999,26.639999,26.02,26.50,8100,26.50
2015-12-03,26.030001,26.99,26.030001,26.639999,6300,26.639999
2015-12-02,26.200001,27.940001,26.00,26.440001,53600,26.440001
2015-12-01,26.50,27.50,26.110001,26.58,96200,26.58
2015-11-30,27.67,28.08,25.209999,26.440001,33200,26.440001
2015-11-27,25.370001,26.50,25.01,26.50,15500,26.50
2015-11-25,26.49,26.49,25.190001,25.799999,11900,25.799999
2015-11-24,25.209999,27.00,25.09,25.620001,56000,25.620001
2015-11-23,25.60,25.60,25.00,25.15,59700,25.15
2015-11-20,26.00,27.01,25.10,25.200001,60300,25.200001
2015-11-19,24.860001,26.00,24.709999,25.90,113200,25.90
2015-11-18,24.620001,26.309999,24.059999,25.00,111100,25.00
2015-11-17,24.459999,25.51,24.379999,24.620001,26000,24.620001
2015-11-16,25.01,26.190001,24.129999,25.02,17000,25.02
2015-11-13,25.469999,26.200001,24.549999,25.26,67400,25.26
2015-11-12,24.25,27.120001,22.50,25.00,83100,25.00
2015-11-11,18.50,25.90,18.00,24.50,1584600,24.50
